job_id,model,arrival_time,duration,num_iteration,iteration_computing_time,iteration_networking_time,gpu_workers,ps,gpu_per_worker,cpu_per_gpu_worker,cpu_per_ps_worker,tensorsizes,skewness,profiled_network
24,densenet100_k12,0,167,25,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
25,densenet100_k12,0,863,148,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
26,densenet100_k12,0,445,499,0.235003501,0,1,0,1,5,5,8.5,1.9,0
27,inception3,0,5170,487,0.06808,0.28346,8,8,1,5,5,90.9,4.2,4504
28,alexnet,0,57,100,0.06424,0.0626,4,4,1,5,5,6.7,2.6,480
29,densenet100_k12,0,690,106,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
30,densenet100_k12,0,176,28,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
31,alexnet,0,130,94,0.05298,0.0728,8,8,1,5,5,6.7,2.6,965
32,inception3,0,10356,7791,0.06683,0.2403,2,2,1,5,5,90.9,4.2,1298
33,densenet100_k12,0,703,244,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
34,densenet100_k12,0,58,5,0.07761,0.23265,2,2,1,5,5,8.5,1.9,127
35,densenet100_k12,0,317,86,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
36,inception3,0,402,277,0.06683,0.2403,2,2,1,5,5,90.9,4.2,1298
37,densenet100_k12,0,1051,1216,0.235003501,0,1,0,1,5,5,8.5,1.9,0
38,densenet100_k12,0,216,228,0.235003501,0,1,0,1,5,5,8.5,1.9,0
39,resnet44,0,1103,1316,0.01381,0.14121,2,2,1,5,5,2.5,2.4,72
40,googlenet,0,520,234,0.06861,0.19126,8,8,1,5,5,26.7,4.2,1912
41,inception3,0,4894,769,0.06683,0.2403,2,2,1,5,5,90.9,4.2,1298
42,densenet100_k12,0,155,1,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
43,alexnet,0,83,33,0.05298,0.0728,8,8,1,5,5,6.7,2.6,965
44,densenet100_k12,0,2024,425,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
45,inception3,0,175,58,0.06591,0.23425,4,4,1,5,5,90.9,4.2,2733
46,alexnet,0,312,331,0.05298,0.0728,8,8,1,5,5,6.7,2.6,965
47,densenet100_k12,0,302,14,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
48,densenet100_k12,0,3031,1198,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
49,resnet110,0,201,45,0.05703,0.29843,4,4,1,5,5,6.6,2.3,164
50,alexnet,0,1232,2647,0.06424,0.0626,4,4,1,5,5,6.7,2.6,480
51,alexnet,0,278,579,0.06424,0.0626,4,4,1,5,5,6.7,2.6,480
52,densenet100_k12,0,88,1,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
53,resnet44,0,2161,1081,0.01291,0.1416,8,8,1,5,5,2.5,2.4,291
54,densenet100_k12,0,14154,3321,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
55,densenet100_k12,0,93,1,0.06403,0.24018,4,4,1,5,5,8.5,1.9,260
56,densenet100_k12,0,99,1,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
57,densenet100_k12,0,2435,523,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
58,densenet100_k12,0,5396,1230,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
59,densenet100_k12,0,300,1,0.06328,0.25466,8,8,1,5,5,8.5,1.9,502
